VARIANT: NINE-MEN
BLACK_PIECES: 9
WHITE_PIECES: 9
SPACES:(ID,XPOS,YPOS)
0,0.125,0.125
1,0.5,0.125
2,0.875,0.125
3,0.25,0.25
4,0.5,0.25
5,0.75,0.25
6,0.375,0.375
7,0.5,0.375
8,0.625,0.375
9,0.125,0.5
10,0.25,0.5
11,0.375,0.5
12,0.625,0.5
13,0.75,0.5
14,0.875,0.5
15,0.375,0.625
16,0.5,0.625
17,0.625,0.625
18,0.25,0.75
19,0.5,0.75
20,0.75,0.75
21,0.125,0.875
22,0.5,0.875
23,0.875,0.875
EDGES:(ID,START_SPACE, END_SPACE)
0,0,1
1,1,2
2,3,4
3,4,5
4,6,7
5,7,8
6,9,10
7,10,11
8,12,13
9,13,14
10,15,16
11,16,17
12,18,19
13,19,20
14,21,22
15,22,23
16,0,9
17,9,21
18,3,10
19,10,18
20,6,11
21,11,15
22,1,4
23,4,7
24,16,19
25,19,22
26,8,12
27,12,17
28,5,13
29,13,20
30,2,14
31,14,23
